file,type,id,display name,meta id,annotation,annotation label,match score,existing,UPDATE ANNOTATION
BIOMD0000000190.xml,species,SAM,S-adenosyl-L-methionine,metaid_0000036,CHEBI:15414,S-adenosyl-L-methionine,1,1,delete
BIOMD0000000190.xml,species,SAM,S-adenosyl-L-methionine,metaid_0000036,CHEBI:59789,S-adenosyl-L-methionine zwitterion,1,0,add
BIOMD0000000190.xml,species,A,S-adenosylmethioninamine,metaid_0000037,CHEBI:15625,S-adenosylmethioninamine,1,1,delete
BIOMD0000000190.xml,species,P,Putrescine,metaid_0000038,CHEBI:17148,putrescine,1,1,keep
BIOMD0000000190.xml,species,P,Putrescine,metaid_0000038,CHEBI:326268,"1,4-butanediammonium",1,0,ignore
BIOMD0000000190.xml,species,S,Spermine,metaid_0000039,CHEBI:15746,spermine,1,1,delete
BIOMD0000000190.xml,species,S,Spermine,metaid_0000039,CHEBI:45725,spermine(4+),1,0,add
BIOMD0000000190.xml,species,D,Spermidine,metaid_0000040,CHEBI:57834,spermidine(3+),1,0,ignore
BIOMD0000000190.xml,species,D,Spermidine,metaid_0000040,CHEBI:16610,spermidine,1,1,keep
BIOMD0000000190.xml,species,aS,N1-Acetylspermine,metaid_0000041,CHEBI:17312,N(1)-acetylspermine,1,1,keep
BIOMD0000000190.xml,species,aS,N1-Acetylspermine,metaid_0000041,CHEBI:58101,N(1)-acetylsperminium(3+),1,0,ignore
BIOMD0000000190.xml,species,aD,N1-Acetylspermidine,metaid_0000042,CHEBI:58324,N(1)-acetylspermidinium(2+),1,0,ignore
BIOMD0000000190.xml,species,aD,N1-Acetylspermidine,metaid_0000042,CHEBI:17927,N(1)-acetylspermidine,1,0,ignore
BIOMD0000000190.xml,species,aD,N1-Acetylspermidine,metaid_0000042,CHEBI:22204,acetylspermidine,0.964,1,keep
BIOMD0000000190.xml,species,Met,Methionine,metaid_0000043,CHEBI:16643,L-methionine,1,1,keep
BIOMD0000000190.xml,species,Met,Methionine,metaid_0000043,CHEBI:16811,methionine,1,0,ignore
BIOMD0000000190.xml,species,Met,Methionine,metaid_0000043,CHEBI:64558,methionine zwitterion,1,0,ignore
BIOMD0000000190.xml,species,ORN,L-Ornithine,metaid_0000044,CHEBI:15729,L-ornithine,1,1,keep
BIOMD0000000190.xml,species,ORN,L-Ornithine,metaid_0000044,CHEBI:46911,L-ornithinium(1+),1,0,ignore
BIOMD0000000190.xml,species,AcCoA,Acetyl-CoA,metaid_0000045,CHEBI:15351,acetyl-CoA,1,1,keep
BIOMD0000000190.xml,species,AcCoA,Acetyl-CoA,metaid_0000045,CHEBI:57288,acetyl-CoA(4-),1,0,ignore
BIOMD0000000190.xml,species,CoA,CoA,metaid_0000046,CHEBI:15346,coenzyme A,1,1,keep
BIOMD0000000190.xml,species,CoA,CoA,metaid_0000046,CHEBI:48076,acetyloxy group,1,0,ignore
BIOMD0000000190.xml,species,CoA,CoA,metaid_0000046,CHEBI:57287,coenzyme A(4-),1,0,add
